name,value
Iulia Pușcașu,2
Isabela Pop,2
Andrian Aanei,2
Eduard Ioniță,2
Valeriu Diaconu,2
Gina Oprea,2
Virginia Tudor,2
Dorel Gheorghiu,2
Bernard Diaconu,2
Anton Preda,2
Cleopatra Ardelean,2
Beatrice Tomescu,2
Eusebiu Suciu,2
Lazăr Preda,2
Ruxandra Mocanu,2
Narcis Popa,2
Gabriela Ionescu,2
Luminița Dima,2
Manole Ioniță,2
Valter Tudor,2
Teofil Ababei,2
Ionelia Ene,2
Vasilică Tudor,2
Geta Toma,2
Simion Albu,2
Dumitrana Mocanu,2
Vlaicu Stancu,2
Ghiță Dima,2
Flavia Preda,2
Amanda Popescu,2
Vladimir Niță,2
Haralambie Cristea,2
Zeno Niță,2
Constanța Marin,2
Lia Pop,2
Antonie Dumitrescu,2
Antoaneta Popa,2
Georgia Tudor,2
Visarion Mocanu,2
Tincuța Marin,2
Heracleea Dobre,2
Dominic Nemeș,2
Augustina Mazilescu,2
Maia Nistor,2
Aurora Stan,2
Lucreția Ababei,2
Eugen Popa,2
Delia Ioniță,2
Ilie Dumitrescu,2
Irinel Tabacu,2
Carina Dinu,2
Cristea Ene,2
Demetra Ardelean,2
Eftimie Dochioiu,2
Leontin Voinea,2
Alistar Stan,2
Elvira Ardelean,2
Rozalia Cristea,2
Gheorghiță Dima,2
Corneliu Stănescu,2
Svetlana Eftimie,2
Sever Ababei,2
Heracleea Dobre,2
Anemona Albu,2
Melina Pop,2
Marinela Oprea,2
Sergiu Voinea,2
Heracleea Georgescu,2
Georgiana Manole,2
Norman Stancu,2
Simina Dumitrescu,2
Eusebiu Mocanu,2
Jan Popescu,2
Roza Eftimie,2
Sava Cristea,2
Arina Dumitrescu,2
Teodor Manole,2
Ion Stoica,2
Simi Niță,2
Miron Barbu,2
Luciana Tudor,2
Răzvan Tomescu,2
Cosmin Florea,2
Constantina Albu,2
Gianina Popa,2
Iosefina Cristea,2
Mara Mazilescu,2
Melania Tudor,2
Jean Tomescu,2
Vasile Mazilescu,2
Vlad Marin,2
Steliana Dobre,2
Francesca Ababei,2
Vladimir Stoica,2
Ionel Nistor,2
Georgel Diaconescu,2
Vanesa Cristea,2
Frusina Popa,2
Amza Popescu,2
Melina Dima,2
Iustinian Popescu,2
Janina Toma,2
Daciana Gheorghiu,2
Minodora Pop,2
Eliza Niță,2
Olimpian Ioniță,2
Magdalena Mocanu,2
Cerasela Diaconescu,2
Gențiana Dobre,2
Crenguța Stănescu,2
Domnica Popescu,2
Florin Ababei,2
Ilie Dumitrescu,2
Crenguța Popescu,2
Elvira Pop,2
Dumitra Dumitrescu,2
Carina Ababei,2
Bogdan Nistor,2
Corvin Oprea,2
Eliza Diaconu,2
Ernest Barbu,2
Iolanda Niță,2
Mara Dinu,2
Florina Eftimie,2
Rareș Popescu,2
Eduard Ioniță,2
Ducu Albu,2
Nichifor Mazilescu,2
Svetlana Niță,2
Grațian Mazilescu,2
Marcel Popa,2
Achim Ionescu,2
Radu Tabacu,2
Liana Oprea,2
Teohari Diaconu,2
Aneta Voinea,2
Miruna Nistor,2
Marga Preda,2
Codrina Aanei,2
Erica Ioniță,2
Simona Ardelean,2
Nicuță Georgescu,2
Zenovia Ardelean,2
Horia Manole,2
Simona Popescu,2
Șerban Georgescu,2
Lazăr Eftimie,2
Haralambie Ioniță,2
Severina Popa,2
Radu Ioniță,2
Xenia Stan,2
Liana Ionescu,2
Cătălin Pop,2
Carmen Georgescu,2
Horia Ioniță,2
Iasmina Manole,2
Ghenadie Stancu,2
Ștefan Ababei,2
George Dima,2
Casandra Mazilescu,2
Denisa Pop,2
Alexandrina Popa,2
Timotei Ionescu,2
Gabriel Pușcașu,2
Semenica Voinea,2
Ilarie Albu,2
Marga Mazilescu,1
Costin Stancu,1
Edmond Nistor,1
Iancu Niță,1
Iustinian Albu,1
Vladimir Stoica,1
Rozalia Aanei,1
Lascăr Ababei,1
Jana Voinea,1
Iolanda Dinu,1
Horea Tudor,1
Ramona Mocanu,1
Timea Aanei,1
Teona Stănescu,1
Stanca Tabacu,1
Horațiu Dobre,1
George Diaconescu,1
Adelaida Diaconu,1
Dacian Ionescu,1
Teofil Tabacu,1
Corina Nistor,1
Adonis Aanei,1
Cleopatra Aanei,1
Iosif Cristea,1
Venera Toma,1
Olimpia Nistor,1
David Tabacu,1
Silvia Diaconu,1
Iacob Eftimie,1
Blanduzia Nistor,1
Amelia Florea,1
Mihai Mazilescu,1
Lidia Mocanu,1
Gheorghe Niță,1
Ileana Tomescu,1
Inocențiu Pop,1
Adina Ioniță,1
Flaviu Mocanu,1
Frederic Mazilescu,1
Tiberia Diaconu,1
Floarea Ababei,1
Angela Pușcașu,1
Olga Pușcașu,1
Marcela Stancu,1
Aurora Marin,1
Tudosia Niță,1
Lică Marin,1
Maia Florea,1
Amedeu Mazilescu,1
Iuliu Manole,1
Elvira Albu,1
Denis Georgescu,1
Anabela Ardelean,1
Raul Nemeș,1
Jenel Nistor,1
Romanița Florea,1
David Stoica,1
Venera Stancu,1
Estera Tabacu,1
Relu Toma,1
Grigore Pușcașu,1
Paulica Ene,1
Andrada Marin,1
Haralamb Tomescu,1
Anica Tudor,1
Salomea Eftimie,1
Cristofor Diaconu,1
Maricica Voinea,1
Alis Dima,1
Severin Stancu,1
Iurie Ionescu,1
Nicolae Toma,1
Teona Diaconu,1
Gregorian Suciu,1
Florica Tudor,1
Florian Barbu,1
Teona Stoica,1
Daiana Florea,1
Claudia Tabacu,1
Iosefina Mazilescu,1
Anghel Stănescu,1
Antonela Popescu,1
Voicu Mocanu,1
Lorelei Ababei,1
Giorgian Preda,1
Petruț Diaconescu,1
Paulina Toma,1
Albertina Ababei,1
Dora Nemeș,1
Alina Pușcașu,1
Speranța Popescu,1
Laurențiu Dochioiu,1
Iancu Georgescu,1
Brândușa Toma,1
Daniela Dinu,1
Bănel Albu,1
Petrică Nistor,1
Stela Marin,1
Iancu Pop,1
Aida Mocanu,1
Nidia Dobre,1
Rica Dumitrescu,1
Dariana Stănescu,1
Aurică Aanei,1
Adina Aanei,1
Elvira Nistor,1
Camelia Tudor,1
Leopoldina Stan,1
Antonie Oprea,1
Dacian Mazilescu,1
Petre Suciu,1
Laurenția Tudor,1
Magdalena Ioniță,1
Elisabeta Diaconu,1
Florentin Mocanu,1
Dorian Nistor,1
Miron Ionescu,1
Cornel Stan,1
Severin Manole,1
Constantina Diaconu,1
Rafael Dima,1
Martin Stan,1
Malvina Tudor,1
Melina Manole,1
Carolina Aanei,1
Aurora Voinea,1
Carmen Dinu,1
Suzana Pușcașu,1
Arina Tomescu,1
Nicușor Florea,1
Florin Ardelean,1
Adelaida Niță,1
Adelin Eftimie,1
Georgel Dima,1
Anghelina Nistor,1
Irinel Oprea,1
Alexandrina Eftimie,1
Albertina Mocanu,1
Panait Preda,1
Gelu Ionescu,1
Alexandrina Dobre,1
Delia Tabacu,1
Bernard Georgescu,1
Cedrin Gheorghiu,1
Octavian Dinu,1
Monica Popa,1
Manole Mazilescu,1
Angel Niță,1
Silvia Oprea,1
Anton Dima,1
Mitruț Georgescu,1
Anca Tomescu,1
Dorin Oprea,1
Adelaida Stoica,1
Luana Dinu,1
Adela Dumitrescu,1
Alexandru Marin,1
Silvian Ababei,1
Gherghina Nistor,1
Gheorghiță Dumitrescu,1
Dorinel Tudor,1
Lăcrămioara Albu,1
Nechifor Suciu,1
Ada Tomescu,1
Petruț Tabacu,1
Florentina Oprea,1
Nichifor Aanei,1
Melania Tomescu,1
Diana Eftimie,1
Ivan Manole,1
Giorgiana Dinu,1
Vasilica Oprea,1
Mariana Popa,1
Luminița Dochioiu,1
Filip Marin,1
Mitruț Diaconu,1
Eftimie Dinu,1
Bogdana Florea,1
Lioara Barbu,1
Costache Ionescu,1
Codrin Mazilescu,1
Zina Preda,1
Liana Eftimie,1
Vasilica Niță,1
Sânziana Tabacu,1
Jasmina Ababei,1
Gențiana Dobre,1
Nadia Tudor,1
Silvian Diaconu,1
Cornelia Ene,1
Adelina Ene,1
Ghenadie Popa,1
Casiana Cristea,1
Anabela Ene,1
Marcheta Mocanu,1
Vladimir Popa,1
Dinu Nistor,1
Maximilian Stancu,1
Carol Aanei,1
Vlădelina Popa,1
Jasmina Tomescu,1
Dimitrina Suciu,1
Beatrice Diaconescu,1
Salomea Stoica,1
Dorina Preda,1
Olimpia Mocanu,1
Leonard Georgescu,1
Romulus Cristea,1
Cătălin Popescu,1
Ionel Marin,1
Zaraza Gheorghiu,1
Crin Mocanu,1
Vlaicu Ene,1
Grațiana Pușcașu,1
Antonia Oprea,1
Rafila Ababei,1
Lia Tabacu,1
Dana Manole,1
Veronica Pușcașu,1
Violeta Tudor,1
Nadia Florea,1
Haralamb Suciu,1
Sorina Stan,1
Laura Preda,1
Relu Ioniță,1
Eliana Tomescu,1
Flavia Nemeș,1
Anghel Florea,1
Iulia Dochioiu,1
Emil Pușcașu,1
Floarea Georgescu,1
Cătălin Gheorghiu,1
Carol Dinu,1
Bănel Eftimie,1
Norica Eftimie,1
Răducu Ionescu,1
Ilarie Tudor,1
Cătălina Popescu,1
Luminița Cristea,1
Rafael Stoica,1
Sava Ardelean,1
Amedeu Voinea,1
Ionela Dima,1
Clara Stănescu,1
Stana Nistor,1
Heracleea Ardelean,1
Clementina Popescu,1
Cornelia Gheorghiu,1
Eugenia Dobre,1
Doru Oprea,1
Flora Ionescu,1
Diana Diaconescu,1
Eufrosina Cristea,1
Aristița Stoica,1
Iasmina Tudor,1
Mona Oprea,1
Dumitra Aanei,1
Fabian Diaconescu,1
Simion Manole,1
Martin Voinea,1
Mariana Preda,1
Carmina Diaconescu,1
Ludmila Mazilescu,1
Luciana Stănescu,1
Viorica Mocanu,1
Fabian Nistor,1
Ortansa Mazilescu,1
Marcheta Stănescu,1
Pompiliu Ababei,1
Cantemir Dinu,1
Basarab Eftimie,1
Octavia Nistor,1
Panait Gheorghiu,1
Dariana Pop,1
Leana Florea,1
Filip Dima,1
Pătru Suciu,1
Florentina Aanei,1
Zenovia Aanei,1
Florea Stoica,1
Valentina Manole,1
Florica Barbu,1
Artemisa Eftimie,1
Axenia Diaconu,1
Iulia Eftimie,1
Ducu Dochioiu,1
Ion Nemeș,1
Lorelei Nistor,1
Iridenta Cristea,1
Mirela Ioniță,1
Iuliana Florea,1
Roberta Manole,1
Carol Dima,1
Marga Niță,1
Aida Ionescu,1
Ortansa Barbu,1
Fiona Voinea,1
Adrian Stan,1
Nae Gheorghiu,1
Mugurel Stan,1
Constantin Mocanu,1
Zenovia Diaconescu,1
Daciana Stancu,1
Pătru Pop,1
Alida Toma,1
Oliviu Dobre,1
Carla Manole,1
Vicențiu Pușcașu,1
Sebastian Diaconu,1
Voichița Manole,1
Lioara Voinea,1
Olga Oprea,1
Hortensia Barbu,1
Ionuț Mazilescu,1
Ștefania Dinu,1
Marian Ioniță,1
Valter Dochioiu,1
Carmen Eftimie,1
Leopoldina Manole,1
Adrian Niță,1
Lorin Gheorghiu,1
Carina Manole,1
Constantin Albu,1
Florentin Diaconescu,1
Fabian Tudor,1
Speranța Eftimie,1
Șerban Preda,1
Fabia Pușcașu,1
Jana Tudor,1
Cipriana Ene,1
Sofia Tabacu,1
Panagachie Stoica,1
Zenovia Ene,1
Lazăr Toma,1
Elisaveta Tabacu,1
Toma Tudor,1
Codruța Dobre,1
Sergiu Diaconu,1
Gicu Voinea,1
Fiona Marin,1
Basarab Ardelean,1
Severin Ababei,1
Marius Ionescu,1
Pătru Dima,1
Dacian Nistor,1
Teodor Mocanu,1
Cristofor Ene,1
Ecaterina Mazilescu,1
Zenobia Ionescu,1
Romina Stancu,1
Alexe Pușcașu,1
Crin Ene,1
Claudia Pușcașu,1
Marta Nistor,1
Robertina Ardelean,1
Flaviu Tudor,1
Bernard Marin,1
